country,year,gdp,nothing,percent
Afghanistan [+],2019,"$18,876M",,3.90%,
Albania [+],2019,"$15,399M",,2.10%,
Algeria [+],2019,"$171,673M",,1.00%,
Andorra [+],2019,"$3,155M",,2.00%,
Angola [+],2019,"$84,516M",,-0.70%,
Antigua and Barbuda [+],2019,"$1,675M",,4.30%,
Argentina [+],2019,"$451,815M",,-2.00%,
Armenia [+],2019,"$13,619M",,7.60%,
Australia [+],2019,"$1,385,480M",,-0.30%,
Austria [+],2019,"$444,670M",,1.50%,
Azerbaijan [+],2019,"$48,174M",,2.50%,
Bahamas [+],2019,"$13,059M",,-0.70%,
Bahrain [+],2019,"$38,654M",,2.20%,
Bangladesh [+],2019,"$351,238M",,7.90%,
Barbados [+],2019,"$5,324M",,-0.50%,
Belarus [+],2019,"$64,414M",,1.40%,
Belgium [+],2019,"$535,924M",,2.20%,
Belize [+],2019,"$2,417M",,4.50%,
Benin [+],2019,"$14,392M",,6.90%,
Bhutan [+],2019,"$2,452M",,4.40%,
Bolivia [+],2019,"$41,193M",,2.20%,
Bosnia and Herzegovina [+],2019,"$20,483M",,2.90%,
Botswana [+],2019,"$16,696M",,3.00%,
Brazil [+],2019,"$1,873,290M",,1.20%,
Brunei [+],2019,"$13,469M",,3.90%,
Bulgaria [+],2019,"$68,920M",,4.00%,
Burkina Faso [+],2019,"$16,179M",,5.70%,
Burundi [+],2019,"$3,012M",,1.80%,
Cabo Verde [+],2019,"$2,231M",,6.90%,
Cambodia [+],2019,"$27,030M",,7.10%,
Cameroon [+],2019,"$39,673M",,3.50%,
Canada [+],2019,"$1,743,730M",,1.90%,
Central African Republic [+],2019,"$2,278M",,3.00%,
Chad [+],2019,"$10,993M",,3.40%,
Chile [+],2019,"$278,354M",,0.70%,
China [+],2019,"$14,340,600M",,6.10%,
Colombia [+],2019,"$323,055M",,3.20%,
Comoros [+],2019,"$1,188M",,1.80%,
Costa Rica [+],2019,"$64,412M",,2.40%,
Croatia [+],2019,"$61,338M",,3.40%,
Cuba [+],2019,"$103,428M",,-0.20%,
Cyprus [+],2019,"$25,948M",,5.50%,
Czechia [+],2019,"$252,548M",,3.00%,
C te d'Ivoire [+],2019,"$59,898M",,6.50%,
Democratic Republic of the Congo [+],2019,"$50,891M",,4.50%,
Denmark [+],2019,"$346,499M",,1.50%,
